participantId,group,distanceCondition,stepFromNewGoal,posterior
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player2,2,0.9999999999862887
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player2,3,0.9999999999999997
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player2,4,1.0
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player2,5,1.0
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,equal_to_both,0,0.5
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,equal_to_both,1,0.9167974257294883
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,equal_to_both,2,0.9999792275796336
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,equal_to_both,3,0.9999938976841308
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,equal_to_both,4,0.9999969735612456
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,equal_to_both,5,0.9999978264615303
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player1,0,0.5
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player1,1,0.4921405262446865
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player1,2,0.5233941255187619
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player1,3,0.9999948278062525
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player1,4,0.9999999999458297
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player1,5,0.9999999999999979
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player2,0,0.5
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player2,1,0.557449882018272
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player2,2,0.603148666997699
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player2,3,0.6294358273447516
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player2,4,0.5745940088981039
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,closer_to_player2,5,0.7918057676495893
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,equal_to_both,0,0.5
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,equal_to_both,1,0.49696220775128125
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,equal_to_both,2,0.49252366574531464
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,equal_to_both,3,0.8297205134808497
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,equal_to_both,4,0.9995417032425138
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player1,Human-Human,equal_to_both,5,0.9992720146880222
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player1,0,0.5
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player1,1,0.9906036652189317
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player1,2,0.9997020217112024
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player1,3,0.9958970340174629
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player1,4,0.9975161628765413
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player1,5,0.9984536555407922
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player2,0,0.5
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player2,1,0.8286947001987223
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player2,2,0.7987978385244943
