lambda,p_signal,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,sim_closer_to_player1_commitment,sim_closer_to_player1_signalingMove,human_closer_to_player1_commitment,human_closer_to_player1_signalingMove,sim_equal_to_both_commitment,sim_equal_to_both_signalingMove,human_equal_to_both_commitment,human_equal_to_both_signalingMove,sim_closer_to_player2_commitment,sim_closer_to_player2_signalingMove,human_closer_to_player2_commitment,human_closer_to_player2_signalingMove,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,fit_stage
0.1,1.0,1.0,199.03807392343106,198.5720890067368,397.61016293016786,0.46291079812206576,0.4148443840477134,0.5222222222222223,0.6724137931034483,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_1_sessions_0_to_29.json.zst,0.45555555555555555,0.24285714285714285,0.5520833333333334,0.5060240963855421,0.5222222222222223,0.6724137931034483,0.8404255319148937,0.5851063829787234,0.4111111111111111,0.296551724137931,0.5638297872340425,0.4523809523809524,74.16666666666667,46.53650001814539,44.74272486772487,37.25727513227514,88.88888888888889,49.23612068794249,54.76190476190476,65.77380952380952,coarse
0.15,0.0,0.0,181.81070444797126,200.89385745374062,382.7045619017119,0.655359937402191,0.32179891884945017,0.6722222222222223,0.35106382978723405,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0_sessions_0_to_29.json.zst,0.6277777777777778,0.31446540880503143,0.5520833333333334,0.5060240963855421,0.6722222222222223,0.35106382978723405,0.8404255319148937,0.5851063829787234,0.6666666666666666,0.2962962962962963,0.5638297872340425,0.4523809523809524,92.77777777777779,70.02042825159273,64.2202380952381,30.448412698412696,98.88888888888889,79.29261418735555,67.33333333333333,33.33333333333333,coarse
0.15,0.1,0.1,179.06911989049632,195.1921528858963,374.2612727763926,0.6278169014084507,0.3569975225419871,0.6833333333333333,0.4732142857142857,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p1_sessions_0_to_29.json.zst,0.6333333333333333,0.27631578947368424,0.5520833333333334,0.5060240963855421,0.6833333333333333,0.4732142857142857,0.8404255319148937,0.5851063829787234,0.5666666666666667,0.30666666666666664,0.5638297872340425,0.4523809523809524,92.22222222222223,71.42919191389215,63.867063492063494,33.32341269841269,100.0,81.1178951560491,67.24137931034483,45.97701149425287,coarse
0.15,0.25,0.25,181.37834869828237,194.3186834944666,375.69703219274896,0.6126760563380281,0.3531809321283006,0.6444444444444445,0.4393939393939394,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p25_sessions_0_to_29.json.zst,0.5722222222222222,0.3333333333333333,0.5520833333333334,0.5060240963855421,0.6444444444444445,0.4393939393939394,0.8404255319148937,0.5851063829787234,0.6222222222222222,0.27631578947368424,0.5638297872340425,0.4523809523809524,90.83333333333333,70.52450337888664,63.9457671957672,34.857804232804234,97.77777777777777,77.50349953018784,69.82758620689656,45.40229885057471,coarse
0.15,0.375,0.375,177.18926584073802,193.59490475679584,370.78417059753383,0.6440532081377152,0.3784481341443367,0.7111111111111111,0.5272727272727272,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p375_sessions_0_to_29.json.zst,0.5888888888888889,0.2662337662337662,0.5520833333333334,0.5060240963855421,0.7111111111111111,0.5272727272727272,0.8404255319148937,0.5851063829787234,0.6333333333333333,0.3227848101265823,0.5638297872340425,0.4523809523809524,85.83333333333333,71.51885923083759,66.88690476190476,35.11507936507936,98.88888888888889,74.69114138979675,80.45977011494251,52.29885057471265,coarse
0.15,0.46875,0.46875,183.13299829004185,200.3672587138801,383.50025700392194,0.5737480438184664,0.33576296787503684,0.6166666666666667,0.47115384615384615,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p46875_sessions_0_to_29.json.zst,0.5277777777777778,0.25625,0.5520833333333334,0.5060240963855421,0.6166666666666667,0.47115384615384615,0.8404255319148937,0.5851063829787234,0.5777777777777777,0.26282051282051283,0.5638297872340425,0.4523809523809524,82.77777777777777,69.80564088440364,58.255291005291,30.33531746031745,95.55555555555556,78.18856286437183,72.8395061728395,46.60493827160494,refine
0.15,0.5,0.5,175.55950693876412,196.79586759728176,372.3553745360459,0.6274647887323943,0.3875057685909613,0.7222222222222222,0.5982142857142857,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p5_sessions_0_to_29.json.zst,0.5833333333333334,0.25,0.5520833333333334,0.5060240963855421,0.7222222222222222,0.5982142857142857,0.8404255319148937,0.5851063829787234,0.5777777777777777,0.2875816993464052,0.5638297872340425,0.4523809523809524,83.05555555555556,70.3207168575261,63.863756613756614,34.49074074074074,97.77777777777777,77.08662715888968,81.32183908045978,58.33333333333333,coarse
0.15,0.5625,0.5625,183.18634344940557,186.76527221311187,369.95161566251744,0.6000782472613458,0.42512344540742103,0.6222222222222222,0.5735294117647058,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p5625_sessions_0_to_29.json.zst,0.6111111111111112,0.3192771084337349,0.5520833333333334,0.5060240963855421,0.6222222222222222,0.5735294117647058,0.8404255319148937,0.5851063829787234,0.5666666666666667,0.36363636363636365,0.5638297872340425,0.4523809523809524,83.88888888888889,67.98681181034856,61.772486772486765,40.84986772486772,92.22222222222223,75.62496278073286,62.222222222222214,57.777777777777786,refine
0.15,0.65625,0.65625,176.97900056901776,184.25572318876021,361.23472375777794,0.6104460093896714,0.4388197331769584,0.7055555555555556,0.5535714285714286,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p65625_sessions_0_to_29.json.zst,0.5166666666666667,0.345679012345679,0.5520833333333334,0.5060240963855421,0.7055555555555556,0.5535714285714286,0.8404255319148937,0.5851063829787234,0.6111111111111112,0.4024390243902439,0.5638297872340425,0.4523809523809524,81.11111111111111,67.04213350338547,62.47156084656085,41.255291005291,96.66666666666667,71.70335419523566,77.97619047619048,57.738095238095234,refine
0.15,0.75,0.75,183.82344889011503,183.03988537987618,366.86333426999124,0.5865805946791863,0.46192492080072667,0.6166666666666667,0.5925925925925926,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p75_sessions_0_to_29.json.zst,0.5222222222222223,0.36075949367088606,0.5520833333333334,0.5060240963855421,0.6166666666666667,0.5925925925925926,0.8404255319148937,0.5851063829787234,0.6222222222222222,0.41566265060240964,0.5638297872340425,0.4523809523809524,82.22222222222221,66.13779806202605,60.218253968253954,43.6468253968254,100.0,71.31747885038996,65.22988505747126,59.482758620689644,coarse
