lambda,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,sim_closer_to_player1_commitment,sim_closer_to_player1_signalingMove,human_closer_to_player1_commitment,human_closer_to_player1_signalingMove,sim_equal_to_both_commitment,sim_equal_to_both_signalingMove,human_equal_to_both_commitment,human_equal_to_both_signalingMove,sim_closer_to_player2_commitment,sim_closer_to_player2_signalingMove,human_closer_to_player2_commitment,human_closer_to_player2_signalingMove,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,fit_stage
0.1,0.5,184.5023422267829,186.5644696374336,371.0668118642165,0.5661189358372457,0.4099071308095998,0.6111111111111112,0.5298507462686567,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p5_sessions_0_to_29.json.zst,0.4888888888888889,0.3430232558139535,0.5520833333333334,0.5060240963855421,0.6111111111111112,0.5298507462686567,0.8404255319148937,0.5851063829787234,0.6,0.34177215189873417,0.5638297872340425,0.4523809523809524,87.5,82.94697913302235,54.908068783068785,39.76190476190476,94.44444444444444,93.21049764423823,60.27777777777777,52.77777777777778,coarse
0.1,0.75,180.79111041483932,188.67595109105213,369.4670615058915,0.5777386541471049,0.39470724365567966,0.65,0.5071428571428571,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p75_sessions_0_to_29.json.zst,0.5722222222222222,0.3176470588235294,0.5520833333333334,0.5060240963855421,0.65,0.5071428571428571,0.8404255319148937,0.5851063829787234,0.5111111111111111,0.34502923976608185,0.5638297872340425,0.4523809523809524,95.0,88.08399273710604,57.45039682539682,38.50859788359788,100.0,97.42445440362107,68.33333333333333,52.22222222222223,refine
0.1,1.0,181.57094337841784,194.24414704829178,375.8150904267096,0.5886932707355242,0.3620890885089668,0.6333333333333333,0.49264705882352944,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_1_sessions_0_to_29.json.zst,0.5611111111111111,0.30357142857142855,0.5520833333333334,0.5060240963855421,0.6333333333333333,0.49264705882352944,0.8404255319148937,0.5851063829787234,0.5722222222222222,0.27380952380952384,0.5638297872340425,0.4523809523809524,88.61111111111111,83.0964982057188,58.947751322751316,35.11574074074073,96.66666666666667,93.49414797544313,67.2222222222222,50.55555555555556,coarse
0.1,2.0,189.37694217862673,193.7255448468788,383.1024870255055,0.582981220657277,0.3775438333657192,0.5666666666666667,0.5357142857142857,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_2_sessions_0_to_29.json.zst,0.5333333333333333,0.27439024390243905,0.5520833333333334,0.5060240963855421,0.5666666666666667,0.5357142857142857,0.8404255319148937,0.5851063829787234,0.65,0.30246913580246915,0.5638297872340425,0.4523809523809524,93.05555555555556,80.61433291422335,59.20833333333334,34.419312169312164,95.55555555555556,92.74167998615837,58.33333333333333,54.310344827586206,coarse
0.1,3.0,186.8740750533065,192.2161711805794,379.0902462338859,0.5273082942097027,0.3740047001407,0.5944444444444444,0.47368421052631576,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_3_sessions_0_to_29.json.zst,0.46111111111111114,0.2865853658536585,0.5520833333333334,0.5060240963855421,0.5944444444444444,0.47368421052631576,0.8404255319148937,0.5851063829787234,0.5277777777777778,0.3488372093023256,0.5638297872340425,0.4523809523809524,90.83333333333333,81.13496377699077,51.398148148148145,35.148148148148145,96.66666666666667,90.81220084436163,56.60919540229884,45.40229885057472,coarse
0.1,5.0,193.98008013807566,191.18431939748666,385.1643995355623,0.5014475743348983,0.3861249634389381,0.5333333333333333,0.5087719298245614,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_5_sessions_0_to_29.json.zst,0.4444444444444444,0.28378378378378377,0.5520833333333334,0.5060240963855421,0.5333333333333333,0.5087719298245614,0.8404255319148937,0.5851063829787234,0.5277777777777778,0.35,0.5638297872340425,0.4523809523809524,91.66666666666666,81.22015527416498,49.833333333333336,36.74801587301587,94.44444444444444,91.51465742793677,52.77777777777778,51.388888888888886,coarse
0.1,8.0,187.48244367231683,196.33367724547944,383.8161209177963,0.5163536776212833,0.3704950032232573,0.5944444444444444,0.5526315789473685,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_8_sessions_0_to_29.json.zst,0.4722222222222222,0.29577464788732394,0.5520833333333334,0.5060240963855421,0.5944444444444444,0.5526315789473685,0.8404255319148937,0.5851063829787234,0.48333333333333334,0.24050632911392406,0.5638297872340425,0.4523809523809524,90.0,80.27197661920611,51.720899470899475,35.06349206349206,94.44444444444444,91.72528794112544,64.36781609195401,55.7471264367816,coarse
0.15,0.0,177.5946633096653,197.29921061916446,374.89387392882975,0.7199921752738654,0.33885601032981433,0.8111111111111111,0.4264705882352941,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0_sessions_0_to_29.json.zst,0.6666666666666666,0.2987012987012987,0.5520833333333334,0.5060240963855421,0.8111111111111111,0.4264705882352941,0.8404255319148937,0.5851063829787234,0.6833333333333333,0.2804878048780488,0.5638297872340425,0.4523809523809524,90.83333333333333,86.43536184827033,72.43716931216932,33.19113756613757,100.0,95.47461489128155,84.72222222222221,43.05555555555555,coarse
0.15,0.25,176.08001334334807,192.82648367545272,368.9064970188008,0.6866197183098591,0.36971392125081187,0.7722222222222223,0.4859154929577465,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p25_sessions_0_to_29.json.zst,0.6277777777777778,0.2891566265060241,0.5520833333333334,0.5060240963855421,0.7722222222222223,0.4859154929577465,0.8404255319148937,0.5851063829787234,0.6611111111111111,0.3192771084337349,0.5638297872340425,0.4523809523809524,92.22222222222223,89.66849407757145,68.31679894179895,36.29960317460317,100.0,97.88663419913419,80.55555555555554,48.333333333333336,refine
0.15,0.5,175.4970423566111,186.79508282407178,362.2921251806829,0.6774256651017214,0.410911188999548,0.7666666666666667,0.5294117647058824,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p5_sessions_0_to_29.json.zst,0.6277777777777778,0.32926829268292684,0.5520833333333334,0.5060240963855421,0.7666666666666667,0.5294117647058824,0.8404255319148937,0.5851063829787234,0.6388888888888888,0.358974358974359,0.5638297872340425,0.4523809523809524,91.94444444444444,85.6614856412139,67.68386243386243,39.9589947089947,97.77777777777777,95.60198654702633,77.77777777777779,51.388888888888886,coarse
