source_file,roomId,unique_partner_types,game_type,human_trial_percent
experiment_data_66ba819cd72c840e39108978_room_c9290c73-b52a-47dd-bac3-a52128ddbebf_2025-09-13T18-14-06-968Z.xlsx,c9290c73-b52a-47dd-bac3-a52128ddbebf,human,human,1.0
experiment_data_66bce38cdb7f3309e448dc8d_room_fc2813a7-4ebd-43fe-a958-ab321b8830f1_2025-09-12T16-43-58-749Z.xlsx,fc2813a7-4ebd-43fe-a958-ab321b8830f1,human,human,1.0
experiment_data_66d0217be06f8783cc04f0a7_room_3058f602-8cd4-402d-96ff-5aa79525a18e_2025-09-12T16-47-43-178Z.xlsx,3058f602-8cd4-402d-96ff-5aa79525a18e,human,human,1.0
experiment_data_67364113bdafe2840fa05b69_room_fc2813a7-4ebd-43fe-a958-ab321b8830f1_2025-09-12T16-43-28-192Z.xlsx,fc2813a7-4ebd-43fe-a958-ab321b8830f1,human,human,1.0
experiment_data_675c64b95d8683943d557b71_room_9a6ddc72-01b2-432c-848d-7629f2ff5bd7_2025-09-12T16-42-53-414Z.xlsx,9a6ddc72-01b2-432c-848d-7629f2ff5bd7,human,human,1.0
experiment_data_678f0bb28ec3307e4f1afb78_room_fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d_2025-09-12T16-54-35-519Z.xlsx,fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d,human,human,1.0
experiment_data_5bddfba7712eb800010d3a61_room_e966ae9a-efbe-4448-94ba-022d109d13de_2025-09-13T18-15-16-767Z.xlsx,e966ae9a-efbe-4448-94ba-022d109d13de,"gpt-4.1-mini,human",mixed,0.9167
experiment_data_607668ac450fc6e3025a131d_room_49124e6f-79b4-4627-ab53-ba0f80c28c33_2025-09-12T16-47-02-878Z.xlsx,49124e6f-79b4-4627-ab53-ba0f80c28c33,"gpt-4.1-mini,human",mixed,0.6667
experiment_data_6154c1748e0de2c3afdab62c_room_db2021d6-0a33-4478-a117-bf4fbec70cd4_2025-09-12T16-47-47-338Z.xlsx,db2021d6-0a33-4478-a117-bf4fbec70cd4,"gpt-4.1-mini,human",mixed,0.9167
experiment_data_6527f153bea7b2d7c0d556e4_room_752d4cef-6dc3-4d68-9d9d-0815e9d70bae_2025-09-13T18-32-16-415Z.xlsx,752d4cef-6dc3-4d68-9d9d-0815e9d70bae,"gpt-4.1-mini,human",mixed,0.9167
experiment_data_65c10fc4bfa12f9fbcfda656_room_5de6a11a-219d-4804-b614-ef42656f3066_2025-09-13T18-20-41-665Z.xlsx,5de6a11a-219d-4804-b614-ef42656f3066,"gpt-4.1-mini,human",mixed,0.9167
