participantID,experimentType,experiment_category,game_class,player1FirstDetectedGoal,player1FinalReachedGoal,firstDetectedSharedGoal,commitment
66338ea47f6b47399eb188ca,1P2G,1P2G,,1.0,1,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,0.0,0,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,0.0,2,,0.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,0.0,0,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,0.0,0,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,1.0,1,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,1.0,1,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,0.0,0,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,0.0,0,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,0.0,0,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,0.0,0,,1.0
66338ea47f6b47399eb188ca,1P2G,1P2G,,1.0,2,,0.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,0.0,0,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,0.0,0,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,0.0,0,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,1.0,1,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,0.0,0,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,1.0,1,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,1.0,1,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,0.0,0,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,0.0,0,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,1.0,1,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,0.0,0,,1.0
5f850c99d40bfe1f29078e69,1P2G,1P2G,,1.0,2,,0.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,1.0,1,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,2,,0.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,0,,1.0
67364113bdafe2840fa05b69,1P2G,1P2G,,0.0,2,,0.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,1.0,1,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,0.0,0,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,0.0,0,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,1.0,1,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,0.0,0,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,1.0,1,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,0.0,0,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,0.0,0,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,0.0,0,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,1.0,2,,0.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,1.0,1,,1.0
66d0217be06f8783cc04f0a7,1P2G,1P2G,,1.0,1,,1.0
60bac4eb11e08e852fd030ab,1P2G,1P2G,,0.0,0,,1.0
60bac4eb11e08e852fd030ab,1P2G,1P2G,,0.0,2,,0.0
60bac4eb11e08e852fd030ab,1P2G,1P2G,,1.0,2,,0.0
60bac4eb11e08e852fd030ab,1P2G,1P2G,,1.0,1,,1.0
60bac4eb11e08e852fd030ab,1P2G,1P2G,,0.0,0,,1.0
60bac4eb11e08e852fd030ab,1P2G,1P2G,,1.0,1,,1.0
60bac4eb11e08e852fd030ab,1P2G,1P2G,,1.0,2,,0.0
60bac4eb11e08e852fd030ab,1P2G,1P2G,,1.0,2,,0.0
