lambda,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,fit_stage,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent
0.15,2.0,187.0837998230859,195.76792942990244,382.8517292529883,0.6870500782472613,0.34625059166221644,0.6666666666666666,0.43452380952380953,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_2_sessions_0_to_29.json.zst,available_raw,92.22222222222223,81.53320830105349,69.31216931216929,34.282407407407405,95.55555555555556,90.88646186640253,68.61111111111111,44.16666666666666
0.15,3.0,190.99151312331725,192.9379484234478,383.9294615467651,0.667018779342723,0.3721571252237444,0.6166666666666667,0.5123456790123457,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_3_sessions_0_to_29.json.zst,available_raw,91.94444444444444,80.75516765182095,67.79100529100528,36.511243386243386,94.44444444444444,90.82571648051525,64.44444444444444,50.27777777777778
0.15,5.0,194.2655912110607,191.61002653042704,385.87561774148776,0.6522691705790297,0.3724497990761662,0.5777777777777777,0.4759036144578313,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_5_sessions_0_to_29.json.zst,available_raw,92.77777777777779,80.51711136961039,65.60185185185185,36.34259259259258,96.66666666666667,87.63930512498624,57.49999999999999,46.944444444444436
0.15,8.0,196.7123648294068,186.90510959383815,383.61747442324497,0.6152973395931143,0.41395823945015453,0.5277777777777778,0.5555555555555556,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_8_sessions_0_to_29.json.zst,available_raw,92.77777777777779,80.02426877213452,61.95436507936508,40.56216931216931,97.77777777777777,91.05385974439123,51.66666666666667,56.666666666666664
0.3,0.0,201.08706352211078,191.0137236627066,392.10078718481736,0.8166275430359938,0.37098776979106407,0.8444444444444444,0.4482758620689655,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_0_sessions_0_to_29.json.zst,available_raw,93.88888888888889,88.93604328764226,81.57407407407408,36.782407407407405,100.0,98.22474747474747,85.27777777777777,45.0
0.3,0.5,200.54744502155347,186.4735705343474,387.0210155559009,0.7906885758998435,0.40128787635396895,0.7777777777777778,0.47337278106508873,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_0p5_sessions_0_to_29.json.zst,available_raw,95.0,88.0609866232386,79.0542328042328,39.332010582010575,98.88888888888889,96.88373740457077,78.33333333333331,46.944444444444436
0.3,1.0,201.89688580338176,192.9617248192625,394.8586106226443,0.7721048513302033,0.3597277342818366,0.7333333333333333,0.4318181818181818,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_1_sessions_0_to_29.json.zst,available_raw,96.11111111111111,87.28427191854593,76.82870370370368,35.67129629629628,100.0,96.7772476873354,73.88888888888889,43.05555555555554
0.3,2.0,192.68951930178565,193.47014727742766,386.1596665792133,0.7428794992175274,0.36013541900848717,0.7277777777777777,0.46296296296296297,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_2_sessions_0_to_29.json.zst,available_raw,94.72222222222221,87.0836125204852,74.92724867724867,35.35714285714285,98.88888888888889,96.58032903008394,74.72222222222221,46.1111111111111
0.3,3.0,189.21489300457415,187.37197871022784,376.586871714802,0.71858372456964,0.4011164274322169,0.7,0.5131578947368421,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_3_sessions_0_to_29.json.zst,available_raw,95.27777777777777,86.74972112280615,73.39947089947088,39.107142857142854,98.88888888888889,96.87357534106762,72.49999999999999,50.83333333333333
0.3,4.25,182.80938137561674,186.20910581188613,369.01848718750284,0.6943661971830987,0.4086490382165675,0.7111111111111111,0.5194805194805194,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_4p25_sessions_0_to_29.json.zst,available_raw,94.16666666666667,86.81816080129494,70.67791005291005,39.738756613756614,98.88888888888889,97.82181918146829,75.0,51.66666666666667
