lambda,p_signal,negative_log_likelihood
1.5,0.75,1883.0497960995708
1.5,0.8,1971.6825900353563
1.5,0.85,2088.8239898793618
1.5,0.9,2257.5873233886973
1.5,0.95,2551.3753240287756
1.5,1.0,11488.534478082674
2.0,0.0,1444.4787722957842
2.0,0.05,1450.2380374018994
2.0,0.1,1458.006499023878
2.0,0.15,1467.8553268443677
2.0,0.2,1479.8902127337371
2.0,0.25,1494.2564878086723
2.0,0.3,1511.146809689748
2.0,0.35,1530.8123658287252
2.0,0.4,1553.5791247710506
2.0,0.45,1579.8716450935308
2.0,0.5,1610.2486646323089
2.0,0.55,1645.4578447499312
2.0,0.6,1686.5231730038977
2.0,0.65,1734.8912369859613
2.0,0.7,1792.6910863458788
2.0,0.75,1863.2329318753054
2.0,0.8,1952.069332644635
2.0,0.85,2069.6083759188296
2.0,0.9,2239.1816977278713
2.0,0.95,2534.9669821091993
2.0,1.0,11512.99427007358
3.0,0.0,1407.4316233901163
3.0,0.05,1412.7402474623239
3.0,0.1,1420.0693523665545
3.0,0.15,1429.4874654380706
3.0,0.2,1441.0977075028695
3.0,0.25,1455.0428279642128
3.0,0.3,1471.5128026585453
3.0,0.35,1490.7559320867624
3.0,0.4,1513.0949604089444
3.0,0.45,1538.950707671852
3.0,0.5,1568.8774102224681
3.0,0.55,1603.6170973004498
3.0,0.6,1644.186423863375
3.0,0.65,1692.022015265781
3.0,0.7,1749.2387241964634
3.0,0.75,1819.1253583192959
3.0,0.8,1907.199869260921
3.0,0.85,2023.808996026928
3.0,0.9,2192.1610822988737
3.0,0.95,2486.149472676498
3.0,1.0,11515.604659883382
5.0,0.0,1370.8080134377165
5.0,0.05,1376.1381088341222
5.0,0.1,1383.5038391320124
5.0,0.15,1392.9736926815804
5.0,0.2,1404.6510187676752
5.0,0.25,1418.6790740194833
5.0,0.3,1435.2486498747783
5.0,0.35,1454.609223439377
5.0,0.4,1477.0851608834341
5.0,0.45,1503.0994812297488
5.0,0.5,1533.2094026579248
5.0,0.55,1568.161048766458
5.0,0.6,1608.9768290927382
5.0,0.65,1657.1017402283724
5.0,0.7,1714.6634039695248
5.0,0.75,1784.9713986904992
5.0,0.8,1873.5805803105116
5.0,0.85,1990.9120587400355
5.0,0.9,2160.3560901598685
5.0,0.95,2456.434888261075
5.0,1.0,11508.895911787646
7.5,0.0,1340.3128859584433
7.5,0.05,1345.6642675576525
7.5,0.1,1353.057623055006
7.5,0.15,1362.5618723003536
7.5,0.2,1374.2808795360083
7.5,0.25,1388.3585065756326
7.5,0.3,1404.9862462091678
7.5,0.35,1424.4143755230082
7.5,0.4,1446.9681530007072
7.5,0.45,1473.0715566193326
7.5,0.5,1503.2827631921816
7.5,0.55,1538.348700123591
7.5,0.6,1579.2920819770177
7.5,0.65,1627.5569415335722
7.5,0.7,1685.2668823131287
7.5,0.75,1755.719998573759
7.5,0.8,1844.440177150877
7.5,0.85,1961.7600647217605
7.5,0.9,2130.771112580262
7.5,0.95,2424.516616549651
7.5,1.0,11466.27784978474
10.0,0.0,1320.5281992253629
10.0,0.05,1325.7037780074618
10.0,0.1,1332.8942962583938
10.0,0.15,1342.164746369354
10.0,0.2,1353.6142380026329
10.0,0.25,1367.3808184544446
10.0,0.3,1383.6487911570096
10.0,0.35,1402.6594349620002
10.0,0.4,1424.726590590674
10.0,0.45,1450.259519654516
10.0,0.5,1479.7970849726698
10.0,0.55,1514.0603237000632
10.0,0.6,1554.0363607483457
10.0,0.65,1601.1187950979472
10.0,0.7,1657.3570232437985
10.0,0.75,1725.9346135384756
10.0,0.8,1812.187232413933
10.0,0.85,1926.1100679162416
10.0,0.9,2090.1057909136553
10.0,0.95,2375.469359298888
10.0,1.0,11401.910151936741
15.0,0.0,1206.6250952754128
15.0,0.05,1210.5472353739738
15.0,0.1,1216.465602924849
15.0,0.15,1224.4400235605115
15.0,0.2,1234.5641061551391
15.0,0.25,1246.9699013529641
15.0,0.3,1261.8350250579365
15.0,0.35,1279.3931311351396
15.0,0.4,1299.9491726988845
15.0,0.45,1323.901815539747
15.0,0.5,1351.7769843815777
15.0,0.55,1384.2794973982623
15.0,0.6,1422.3755275587987
15.0,0.65,1467.430623288286
15.0,0.7,1521.4549262485648
15.0,0.75,1587.5738227967222
15.0,0.8,1671.0297020103167
15.0,0.85,1781.650028566839
15.0,0.9,1941.4746229553425
15.0,0.95,2220.6768927362573
15.0,1.0,11315.086257131392
18.145549,0.0,1165.7949227455683
18.145549,0.05,1169.2645669101805
18.145549,0.1,1174.719240956327
18.145549,0.15,1182.2173932761975
18.145549,0.2,1191.8511304295025
18.145549,0.25,1203.7508447221144
18.145549,0.3,1218.092301285966
18.145549,0.35,1235.1070668445116
18.145549,0.4,1255.0977168908062
18.145549,0.45,1278.4601813398438
18.145549,0.5,1305.717204683583
18.145549,0.55,1337.5698698749268
18.145549,0.6,1374.9799165363895
18.145549,0.65,1419.3075768771935
18.145549,0.7,1472.556561095901
18.145549,0.75,1537.8444440931673
18.145549,0.8,1620.4042397512267
18.145549,0.85,1730.0529448273899
18.145549,0.9,1888.8231723544104
18.145549,0.95,2166.920919227223
18.145549,1.0,11310.312056060478
20.0,0.0,1168.1853732147574
20.0,0.05,1171.7303852453883
20.0,0.1,1177.266079103285
20.0,0.15,1184.8510505659053
20.0,0.2,1194.5776620942827
20.0,0.25,1206.5766832526358
20.0,0.3,1221.0243982284346
20.0,0.35,1238.1530650020977
20.0,0.4,1258.266166677147
20.0,0.45,1281.7608210293354
20.0,0.5,1309.1613338930904
20.0,0.55,1341.1708612308792
20.0,0.6,1378.753936516045
20.0,0.65,1423.2746312753995
20.0,0.7,1476.742057983805
20.0,0.75,1542.2816016040895
20.0,0.8,1625.137879490391
20.0,0.85,1735.1453671079003
20.0,0.9,1894.3610611469305
20.0,0.95,2172.994627986861
20.0,1.0,11332.603990704223
30.0,0.0,1213.9814173901582
30.0,0.05,1218.6035645861998
30.0,0.1,1225.2885372999879
30.0,0.15,1234.102143125688
30.0,0.2,1245.1454411355253
30.0,0.25,1258.5597330483038
30.0,0.3,1274.534149732061
30.0,0.35,1293.3167725580647
30.0,0.4,1315.2308163777218
30.0,0.45,1340.6983792770154
30.0,0.5,1370.2759767028333
30.0,0.55,1404.7092276452447
30.0,0.6,1445.0201837391846
30.0,0.65,1492.6534880029762
30.0,0.7,1549.7360191611224
30.0,0.75,1619.5751116799
30.0,0.8,1707.7185403162891
30.0,0.85,1824.5642264514127
30.0,0.9,1993.4163408866168
30.0,0.95,2288.3605388767955
30.0,1.0,11720.6434537528
32.885638,0.0,1214.627532525568
32.885638,0.05,1219.3363770024418
32.885638,0.1,1226.1155657865422
32.885638,0.15,1235.0315209470907
32.885638,0.2,1246.1860993759303
32.885638,0.25,1259.7216277048553
32.885638,0.3,1275.8285523531374
32.885638,0.35,1294.7566535024405
32.885638,0.4,1316.8313650799255
32.885638,0.45,1342.4777318415893
32.885638,0.5,1372.256266693771
32.885638,0.55,1406.9181594966817
32.885638,0.6,1447.4934898467156
32.885638,0.65,1495.4389638372322
32.885638,0.7,1552.9005740461816
32.885638,0.75,1623.2181027683698
32.885638,0.8,1711.999782564659
32.885638,0.85,1829.7722187915106
32.885638,0.9,2000.1771802903884
32.885638,0.95,2298.6157634324054
32.885638,1.0,11846.442810385171
40.0,0.0,1213.8361398719974
40.0,0.05,1218.635882167661
40.0,0.1,1225.5166124000407
40.0,0.15,1234.5457179881375
40.0,0.2,1245.8262615709118
40.0,0.25,1259.502070804966
40.0,0.3,1275.7654647463241
40.0,0.35,1294.868574921923
40.0,0.4,1317.1398179468956
40.0,0.45,1343.0080748746232
40.0,0.5,1373.0388810777063
40.0,0.55,1407.9901494228675
40.0,0.6,1448.9012114673908
40.0,0.65,1497.2419564045551
40.0,0.7,1555.1780167497518
40.0,0.75,1626.080200128061
40.0,0.8,1715.6098548802404
40.0,0.85,1834.3958637799485
40.0,0.9,2006.318247026742
40.0,0.95,2307.588822560301
40.0,1.0,12140.910666253749
50.0,0.0,1215.790305574586
50.0,0.05,1220.5198906330727
50.0,0.1,1227.3302883297613
50.0,0.15,1236.2887337675952
50.0,0.2,1247.4981320048778
50.0,0.25,1261.1021467213725
50.0,0.3,1277.2929254475464
50.0,0.35,1296.3224196291615
50.0,0.4,1318.5188566755648
50.0,0.45,1344.3109197285476
50.0,0.5,1374.2639400244084
50.0,0.55,1409.1356267847711
50.0,0.6,1449.9651239421837
50.0,0.65,1498.222183613908
50.0,0.7,1556.0724296634994
50.0,0.75,1626.8869747661518
50.0,0.8,1716.3282708266358
50.0,0.85,1835.0285822495043
50.0,0.9,2006.8794313549122
50.0,0.95,2308.1506230171008
50.0,1.0,12357.81253865048
