lambda,p_signal,negative_log_likelihood
0.75,0.8,5585.08686293927
0.75,0.85,5831.435420532362
0.75,0.9,6156.506550638175
0.75,0.95,6632.786048989152
0.75,1.0,7541.785541565237
1.0,0.0,4213.21320082834
1.0,0.05,4242.878334586304
1.0,0.1,4277.014825549392
1.0,0.15,4315.787830802097
1.0,0.2,4359.431406147945
1.0,0.25,4408.258429532954
1.0,0.3,4462.675223553614
1.0,0.35,4523.20251255776
1.0,0.4,4590.50531199388
1.0,0.45,4665.435912857896
1.0,0.5,4749.096787508529
1.0,0.55,4842.934983695229
1.0,0.6,4948.888436652047
1.0,0.65,5069.622166830856
1.0,0.7,5208.929465530505
1.0,0.75,5372.458625005964
1.0,0.8,5569.144318528934
1.0,0.85,5814.365451624974
1.0,0.9,6138.15159153982
1.0,0.95,6612.947640495744
1.0,1.0,7520.394080160533
1.5,0.0,4196.130228946904
1.5,0.05,4225.357210606068
1.5,0.1,4259.058664171137
1.5,0.15,4297.398745260563
1.5,0.2,4340.610572796829
1.5,0.25,4389.006133205451
1.5,0.3,4442.990885643889
1.5,0.35,4503.084702797685
1.5,0.4,4569.951743952521
1.5,0.45,4644.4434221421
1.5,0.5,4727.661290353603
1.5,0.55,4821.0514119282025
1.5,0.6,4926.550642737886
1.5,0.65,5046.8227900699985
1.5,0.7,5185.659749575038
1.5,0.75,5348.708188989172
1.5,0.8,5544.900966744062
1.5,0.85,5789.615585234786
1.5,0.9,6112.885000787657
1.5,0.95,6587.203547399251
1.5,1.0,7496.164142942596
2.0,0.0,4174.395431481302
2.0,0.05,4203.326254996274
2.0,0.1,4236.727174993038
2.0,0.15,4274.760704155251
2.0,0.2,4317.658206505528
2.0,0.25,4365.729739330831
2.0,0.3,4419.378583606204
2.0,0.35,4479.122090176651
2.0,0.4,4545.621427948789
2.0,0.45,4619.72438004981
2.0,0.5,4702.527987856367
2.0,0.55,4795.472566669563
2.0,0.6,4900.48744944331
2.0,0.65,5020.226295083237
2.0,0.7,5158.466817937007
2.0,0.75,5320.835009400586
2.0,0.8,5516.231944736214
2.0,0.85,5759.98283122148
2.0,0.9,6082.026616832326
2.0,0.95,6554.673156386853
2.0,1.0,7465.313854050532
3.0,0.0,4137.630863827923
3.0,0.05,4165.9484157534525
3.0,0.1,4198.743090216789
3.0,0.15,4236.175370547743
3.0,0.2,4278.4745978799265
3.0,0.25,4325.948760391006
3.0,0.3,4378.998964754026
3.0,0.35,4438.140212049315
3.0,0.4,4504.031057447589
3.0,0.45,4577.516289334857
3.0,0.5,4659.689411714906
3.0,0.55,4751.986427382491
3.0,0.6,4856.331233277867
3.0,0.65,4975.370383685145
3.0,0.7,5112.871924495088
3.0,0.75,5274.4480598458285
3.0,0.8,5468.979074731528
3.0,0.85,5711.756624964301
3.0,0.9,6032.661228391507
3.0,0.95,6503.902347888791
3.0,1.0,7416.296389892848
5.0,0.0,4094.7635861532217
5.0,0.05,4122.609929327516
5.0,0.1,4154.942954013207
5.0,0.15,4191.921294406827
5.0,0.2,4233.772573920586
5.0,0.25,4280.803161881414
5.0,0.3,4333.412616938991
5.0,0.35,4392.114438674432
5.0,0.4,4457.565706574323
5.0,0.45,4530.6097428029225
5.0,0.5,4612.338584968936
5.0,0.55,4704.186771885703
5.0,0.6,4808.076765894726
5.0,0.65,4926.653794618476
5.0,0.7,5063.684879179443
5.0,0.75,5224.78197177916
5.0,0.8,5418.827083270248
5.0,0.85,5661.119033436743
5.0,0.9,5981.563208254535
5.0,0.95,6452.478428695401
5.0,1.0,7370.92624100973
7.5,0.0,4053.9793450887373
7.5,0.05,4081.7812651143577
7.5,0.1,4114.081281664421
7.5,0.15,4151.037423285321
7.5,0.2,4192.876907762009
7.5,0.25,4239.905885452093
7.5,0.3,4292.523878720925
7.5,0.35,4351.244539111251
7.5,0.4,4416.725302607762
7.5,0.45,4489.810081991402
7.5,0.5,4571.591787051141
7.5,0.55,4663.506183462424
7.5,0.6,4767.477427305222
7.5,0.65,4886.153081760693
7.5,0.7,5023.303426784042
7.5,0.75,5184.545070627422
7.5,0.8,5378.76692663116
7.5,0.85,5621.278618679339
7.5,0.9,5942.003865537612
7.5,0.95,6413.296804124818
7.5,1.0,7332.338364107538
10.0,0.0,4024.921205459857
10.0,0.05,4052.726778065164
10.0,0.1,4085.033283159318
10.0,0.15,4121.998841711918
10.0,0.2,4163.8508669515795
10.0,0.25,4210.895817297231
10.0,0.3,4263.533652657007
10.0,0.35,4322.278617505251
10.0,0.4,4387.788934095074
10.0,0.45,4460.909549637087
10.0,0.5,4542.7347359998785
10.0,0.55,4634.702065503885
10.0,0.6,4738.738121324166
10.0,0.65,4857.493786853682
10.0,0.7,4994.743994507789
10.0,0.75,5156.112079230378
10.0,0.8,5350.497087963844
10.0,0.85,5593.224777857074
10.0,0.9,5914.246626564862
10.0,0.95,6385.97047590515
