participantId,group,stepFromNewGoal,posterior,plotGroup
always_committed_session_1_player1,sampleJointGoal_fromStart,2,0.6690849205832244,"sampleJointGoal
fromStart"
always_committed_session_1_player1,sampleJointGoal_fromStart,3,0.7612659913036586,"sampleJointGoal
fromStart"
always_committed_session_1_player1,sampleJointGoal_fromStart,4,0.7918586528172501,"sampleJointGoal
fromStart"
always_committed_session_1_player1,sampleJointGoal_fromStart,5,0.812314503438264,"sampleJointGoal
fromStart"
always_committed_session_1_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_1_player2,sampleJointGoal_fromStart,1,0.6615691758273786,"sampleJointGoal
fromStart"
always_committed_session_1_player2,sampleJointGoal_fromStart,2,0.7185741150565004,"sampleJointGoal
fromStart"
always_committed_session_1_player2,sampleJointGoal_fromStart,3,0.7382609565764631,"sampleJointGoal
fromStart"
always_committed_session_1_player2,sampleJointGoal_fromStart,4,0.7709318197457704,"sampleJointGoal
fromStart"
always_committed_session_1_player2,sampleJointGoal_fromStart,5,0.8444237280274012,"sampleJointGoal
fromStart"
always_committed_session_20_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_20_player1,sampleJointGoal_fromStart,1,0.7653259587104926,"sampleJointGoal
fromStart"
always_committed_session_20_player1,sampleJointGoal_fromStart,2,0.9187564742593064,"sampleJointGoal
fromStart"
always_committed_session_20_player1,sampleJointGoal_fromStart,3,0.9543293454888471,"sampleJointGoal
fromStart"
always_committed_session_20_player1,sampleJointGoal_fromStart,4,0.8459806982429953,"sampleJointGoal
fromStart"
always_committed_session_20_player1,sampleJointGoal_fromStart,5,0.8850600834588997,"sampleJointGoal
fromStart"
always_committed_session_20_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_20_player2,sampleJointGoal_fromStart,1,0.6002976596478721,"sampleJointGoal
fromStart"
always_committed_session_20_player2,sampleJointGoal_fromStart,2,0.8949105887587478,"sampleJointGoal
fromStart"
always_committed_session_20_player2,sampleJointGoal_fromStart,3,0.8958729059894424,"sampleJointGoal
fromStart"
always_committed_session_20_player2,sampleJointGoal_fromStart,4,0.8964815329692659,"sampleJointGoal
fromStart"
always_committed_session_20_player2,sampleJointGoal_fromStart,5,0.8957496244833656,"sampleJointGoal
fromStart"
always_committed_session_21_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_21_player1,sampleJointGoal_fromStart,1,0.6950052637856091,"sampleJointGoal
fromStart"
always_committed_session_21_player1,sampleJointGoal_fromStart,2,0.8061445486440098,"sampleJointGoal
fromStart"
always_committed_session_21_player1,sampleJointGoal_fromStart,3,0.8199943813898876,"sampleJointGoal
fromStart"
always_committed_session_21_player1,sampleJointGoal_fromStart,4,0.8796550434735129,"sampleJointGoal
fromStart"
always_committed_session_21_player1,sampleJointGoal_fromStart,5,0.876527366301957,"sampleJointGoal
fromStart"
always_committed_session_21_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_21_player2,sampleJointGoal_fromStart,1,0.6788349473256949,"sampleJointGoal
fromStart"
always_committed_session_21_player2,sampleJointGoal_fromStart,2,0.8860561052950258,"sampleJointGoal
fromStart"
always_committed_session_21_player2,sampleJointGoal_fromStart,3,0.8891380816267402,"sampleJointGoal
fromStart"
always_committed_session_21_player2,sampleJointGoal_fromStart,4,0.8997203245441006,"sampleJointGoal
fromStart"
always_committed_session_21_player2,sampleJointGoal_fromStart,5,0.9002377000404095,"sampleJointGoal
fromStart"
always_committed_session_22_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
