sessionIndex,trialIndex,mapId,distanceCondition,firstDetectedSharedGoal,newGoalPresentedTime,posteriorEvidenceSteps,two_goal_shared_posterior,three_goal_shared_raw_posterior,three_goal_old_alternative_raw_posterior,three_goal_new_raw_posterior,three_goal_shared_scaled_posterior
6,6,303,equal_to_both,0,7.0,7,0.9999999230415427,0.6666666153610286,5.1305638164577456e-08,0.3333333333333333,0.6666666495647865
7,0,297,equal_to_both,1,2.0,2,0.9999819075908669,0.666654605060578,1.2061606088706069e-05,0.3333333333333333,0.6666626460828091
7,3,300,closer_to_player2,0,8.0,8,0.9999999999999941,0.6666666666666627,3.948403368937905e-15,0.33333333333333326,0.6666666666666654
7,5,302,closer_to_player1,0,4.0,4,0.9999999230415427,0.6666666153610286,5.1305638164577615e-08,0.3333333333333333,0.6666666495647865
7,7,304,closer_to_player2,1,5.0,5,0.9999999996726529,0.6666666664484353,2.18231408679661e-10,0.3333333333333333,0.6666666665939229
7,8,305,equal_to_both,1,3.0,3,0.9999999230415427,0.6666666153610286,5.130563816457745e-08,0.3333333333333333,0.6666666495647865
7,10,307,closer_to_player2,0,3.0,3,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
7,11,308,closer_to_player1,0,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577635e-08,0.3333333333333333,0.6666666495647865
8,1,298,closer_to_player1,0,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867966134e-10,0.3333333333333333,0.6666666665939229
8,2,299,closer_to_player2,1,6.0,6,1.0,0.6666666666666667,3.0386305524662485e-22,0.3333333333333333,0.6666666666666667
8,3,300,closer_to_player2,1,5.0,5,0.9999999999986076,0.6666666666657385,9.282594623910438e-13,0.3333333333333333,0.6666666666663572
8,5,302,equal_to_both,1,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577615e-08,0.3333333333333333,0.6666666495647865
8,6,303,closer_to_player2,1,3.0,3,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
8,8,305,closer_to_player1,1,2.0,2,0.9999999230415427,0.6666666153610286,5.130563816457799e-08,0.3333333333333333,0.6666666495647865
8,9,306,closer_to_player1,0,3.0,3,0.9999999996726529,0.6666666664484353,2.1823140867966026e-10,0.3333333333333333,0.6666666665939229
8,10,307,equal_to_both,0,5.0,5,0.9999999996726529,0.6666666664484353,2.1823140867965778e-10,0.3333333333333333,0.6666666665939229
9,0,297,equal_to_both,1,3.0,3,0.9999819075908669,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
9,1,298,equal_to_both,0,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867966196e-10,0.3333333333333333,0.6666666665939229
9,2,299,closer_to_player2,0,5.0,5,0.9999999999986076,0.6666666666657385,9.282594623910373e-13,0.3333333333333333,0.6666666666663572
9,5,302,closer_to_player1,1,4.0,4,1.0,0.6666666666666667,1.6794753832793237e-17,0.3333333333333333,0.6666666666666667
9,6,303,closer_to_player1,0,3.0,3,0.9999999999986077,0.6666666666657385,9.282594623910361e-13,0.3333333333333333,0.6666666666663572
9,7,304,closer_to_player2,0,7.0,7,0.9999999999999941,0.6666666666666627,3.948403368937878e-15,0.33333333333333326,0.6666666666666654
9,9,306,equal_to_both,0,2.0,2,0.9999819075908669,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
9,10,307,closer_to_player1,1,3.0,3,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
9,11,308,closer_to_player2,0,5.0,5,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
10,2,299,equal_to_both,0,3.0,3,0.9999999996726529,0.6666666664484353,2.182314086796618e-10,0.3333333333333333,0.6666666665939229
10,3,300,closer_to_player1,1,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937882e-15,0.33333333333333326,0.6666666666666654
10,4,301,closer_to_player1,1,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937875e-15,0.33333333333333326,0.6666666666666654
10,5,302,equal_to_both,0,1.0,1,0.999981907590867,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
10,6,303,closer_to_player2,1,3.0,3,0.9999819075908669,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
10,7,304,equal_to_both,1,3.0,3,0.9999999230415427,0.6666666153610286,5.130563816457762e-08,0.3333333333333333,0.6666666495647865
10,9,306,closer_to_player2,0,4.0,4,0.9999999230415427,0.6666666153610286,5.130563816457719e-08,0.3333333333333333,0.6666666495647865
10,10,307,closer_to_player2,1,3.0,3,0.999981907590867,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
11,0,297,closer_to_player1,0,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867966028e-10,0.3333333333333333,0.6666666665939229
11,1,298,closer_to_player2,0,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867966018e-10,0.3333333333333333,0.6666666665939229
11,2,299,closer_to_player1,1,6.0,6,0.9999999996726529,0.6666666664484353,2.182314086796619e-10,0.3333333333333333,0.6666666665939229
11,6,303,closer_to_player1,0,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577635e-08,0.3333333333333333,0.6666666495647865
11,7,304,closer_to_player2,0,5.0,5,0.9999999996726529,0.6666666664484353,2.1823140867966114e-10,0.3333333333333333,0.6666666665939229
11,8,305,closer_to_player2,1,2.0,2,0.9999999230415427,0.6666666153610286,5.130563816457799e-08,0.3333333333333333,0.6666666495647865
11,9,306,equal_to_both,1,6.0,6,0.9999999999986077,0.6666666666657385,9.28259462391028e-13,0.3333333333333333,0.6666666666663572
11,10,307,equal_to_both,1,1.0,1,0.9999819075908669,0.666654605060578,1.2061606088706067e-05,0.3333333333333333,0.6666626460828091
12,0,297,closer_to_player2,0,5.0,5,0.9999999996726529,0.6666666664484353,2.1823140867966256e-10,0.3333333333333333,0.6666666665939229
12,1,298,closer_to_player1,0,3.0,3,0.9999999230415427,0.6666666153610286,5.13056381645779e-08,0.3333333333333333,0.6666666495647865
12,3,300,closer_to_player1,1,6.0,6,1.0,0.6666666666666667,7.143742164823328e-20,0.3333333333333333,0.6666666666666667
12,5,302,closer_to_player2,1,7.0,7,0.9999999996726529,0.6666666664484353,2.182314086796614e-10,0.3333333333333333,0.6666666665939229
12,6,303,equal_to_both,1,5.0,5,0.9999819075908669,0.666654605060578,1.2061606088706196e-05,0.3333333333333333,0.6666626460828091
12,7,304,equal_to_both,1,2.0,2,0.9999999230415427,0.6666666153610286,5.130563816457783e-08,0.3333333333333333,0.6666666495647865
12,8,305,closer_to_player2,1,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164578005e-08,0.3333333333333333,0.6666666495647865
12,10,307,closer_to_player1,1,3.0,3,0.9999999999986076,0.6666666666657385,9.282594623910361e-13,0.3333333333333333,0.6666666666663572
13,0,297,closer_to_player1,0,4.0,4,0.9999999230415427,0.6666666153610286,5.130563816457762e-08,0.3333333333333333,0.6666666495647865
13,2,299,equal_to_both,0,2.0,2,0.9999999230415427,0.6666666153610286,5.1305638164577926e-08,0.3333333333333333,0.6666666495647865
13,4,301,closer_to_player1,1,7.0,7,1.0,0.6666666666666667,1.679475383279337e-17,0.3333333333333333,0.6666666666666667
13,5,302,equal_to_both,0,1.0,1,0.999981907590867,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
13,6,303,closer_to_player2,0,4.0,4,0.9999819075908669,0.666654605060578,1.2061606088706062e-05,0.3333333333333333,0.6666626460828091
13,7,304,closer_to_player2,0,5.0,5,0.9999999999986076,0.6666666666657385,9.282594623910444e-13,0.3333333333333333,0.6666666666663572
13,11,308,closer_to_player1,0,3.0,3,0.9999999996726529,0.6666666664484353,2.1823140867966026e-10,0.3333333333333333,0.6666666665939229
14,3,300,closer_to_player2,1,5.0,5,0.9999999999986076,0.6666666666657385,9.282594623910444e-13,0.3333333333333333,0.6666666666663572
14,4,301,closer_to_player2,0,7.0,7,1.0,0.6666666666666667,7.143742164823328e-20,0.3333333333333333,0.6666666666666667
14,6,303,equal_to_both,0,3.0,3,0.9999819075908669,0.666654605060578,1.20616060887061e-05,0.3333333333333333,0.6666626460828091
14,7,304,equal_to_both,1,2.0,2,0.9999819075908669,0.666654605060578,1.2061606088706108e-05,0.3333333333333333,0.6666626460828091
14,8,305,equal_to_both,0,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867965896e-10,0.3333333333333333,0.6666666665939229
14,9,306,closer_to_player1,1,3.0,3,0.9999999999986076,0.6666666666657385,9.282594623910361e-13,0.3333333333333333,0.6666666666663572
14,11,308,closer_to_player1,1,3.0,3,0.9999999230415427,0.6666666153610286,5.130563816457788e-08,0.3333333333333333,0.6666666495647865
15,0,297,equal_to_both,0,6.0,6,0.9999999230415427,0.6666666153610286,5.1305638164577344e-08,0.3333333333333333,0.6666666495647865
15,2,299,closer_to_player1,1,5.0,5,0.9999999999986076,0.6666666666657385,9.282594623910394e-13,0.3333333333333333,0.6666666666663572
15,4,301,closer_to_player1,0,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937898e-15,0.33333333333333326,0.6666666666666654
15,5,302,equal_to_both,1,1.0,1,0.999981907590867,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
15,6,303,closer_to_player2,1,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577886e-08,0.3333333333333333,0.6666666495647865
15,8,305,closer_to_player2,0,2.0,2,0.999981907590867,0.666654605060578,1.2061606088706133e-05,0.3333333333333333,0.6666626460828091
15,10,307,closer_to_player1,0,3.0,3,0.999981907590867,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
15,11,308,equal_to_both,0,2.0,2,0.9999999230415427,0.6666666153610286,5.1305638164577635e-08,0.3333333333333333,0.6666666495647865
16,0,297,closer_to_player2,1,4.0,4,0.9999999999986076,0.6666666666657385,9.282594623910378e-13,0.3333333333333333,0.6666666666663572
16,1,298,closer_to_player2,0,3.0,3,0.9999999230415427,0.6666666153610286,5.130563816457762e-08,0.3333333333333333,0.6666666495647865
16,8,305,closer_to_player1,0,4.0,4,0.9999999996726529,0.6666666664484353,2.182314086796579e-10,0.3333333333333333,0.6666666665939229
16,9,306,closer_to_player1,0,3.0,3,0.9957644603591566,0.6638429735727711,0.0028236930938956213,0.3333333333333333,0.6657227703618911
16,10,307,equal_to_both,0,4.0,4,0.9999999230415427,0.6666666153610286,5.1305638164577185e-08,0.3333333333333333,0.6666666495647865
16,11,308,closer_to_player2,0,4.0,4,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
17,0,297,closer_to_player2,1,4.0,4,0.9999999996726529,0.6666666664484353,2.182314086796603e-10,0.3333333333333333,0.6666666665939229
17,1,298,closer_to_player2,1,3.0,3,0.9999999996726529,0.6666666664484353,2.1823140867966028e-10,0.3333333333333333,0.6666666665939229
